Food ID,Log Time,User ID
10,2019-07-08 05:47:43+00:00,10727632
22,2019-07-08 06:00:45+00:00,10727634
10,2019-07-08 06:34:49+00:00,10727635
21,2019-07-08 10:02:49+00:00,10727636
924,2019-07-08 11:40:05+00:00,10727637
924,2019-07-08 11:44:20+00:00,10727638
924,2019-07-08 11:50:10+00:00,10727639
924,2019-07-08 12:20:52+00:00,10727640
924,2019-07-08 12:38:25+00:00,10727641
924,2019-07-08 12:38:25+00:00,10727641
10,2019-07-08 12:46:54+00:00,10727642
924,2019-07-08 13:00:21+00:00,10727643
924,2019-07-08 13:23:41+00:00,10727644
924,2019-07-08 18:48:45+00:00,10727645
924,2019-07-08 18:56:02+00:00,10727645
924,2019-07-08 18:56:02+00:00,10727645
375,2019-07-08 19:06:47+00:00,10727646
12260,2019-07-09 07:26:22+00:00,10727647
924,2019-07-10 06:57:52+00:00,10727649
10,2019-07-10 09:05:21+00:00,10727650
22,2019-07-10 10:02:10+00:00,10727651
212,2019-07-10 10:53:34+00:00,10727652
10,2019-07-11 06:49:04+00:00,10727654
10,2019-07-11 06:58:35+00:00,10727655
13,2019-07-11 07:00:32+00:00,10727655
212,2019-07-11 07:00:32+00:00,10727655
10,2019-07-11 07:25:14+00:00,10727656
13,2019-07-11 07:45:20+00:00,10727657
10,2019-07-11 11:35:20+00:00,10727658
10,2019-07-11 11:38:03+00:00,10727659
10,2019-07-11 12:50:12+00:00,10727660
10,2019-07-11 12:57:01+00:00,10727661
10,2019-07-11 13:11:34+00:00,10727662
13,2019-07-11 19:55:07+00:00,10727663
10,2019-07-12 08:37:36+00:00,10727664
10,2019-07-12 09:11:43+00:00,10727665
10,2019-07-12 09:22:30+00:00,10727666
10,2019-07-12 09:51:48+00:00,10727667
10,2019-07-12 10:09:28+00:00,10727668
10,2019-07-12 10:47:56+00:00,10727669
12031,2019-07-12 11:07:11+00:00,10727670
10,2019-07-12 11:22:35+00:00,10727671
10,2019-07-12 11:28:59+00:00,10727672
10,2019-07-12 11:49:12+00:00,10727673
9864,2019-07-12 12:43:58+00:00,10727674
19,2019-07-15 05:47:10+00:00,10727675
22,2019-07-15 06:46:41+00:00,10727676
22,2019-07-15 06:50:22+00:00,10727677
22,2019-07-15 08:49:54+00:00,10727678
924,2019-07-15 09:13:34+00:00,10727679
924,2019-07-15 09:56:17+00:00,10727681
13,2019-07-15 09:59:32+00:00,10727680
10,2019-07-15 10:13:02+00:00,10727682
13,2019-07-15 12:45:01+00:00,10727683
13,2019-07-15 13:50:28+00:00,10727684
13,2019-07-15 14:14:46+00:00,10727685
924,2019-07-15 15:34:06+00:00,10727686
737,2019-07-15 15:34:45+00:00,10727686
737,2019-07-15 15:58:42+00:00,10727686
22,2019-07-15 15:58:42+00:00,10727686
10,2019-07-15 15:59:56+00:00,4847366
924,2019-07-15 16:19:26+00:00,10727687
13,2019-07-15 20:00:28+00:00,10727688
10,2019-07-16 02:54:26+00:00,10727689
52,2019-07-16 02:55:03+00:00,10727689
56,2019-07-16 02:55:03+00:00,10727689
13,2019-07-16 02:55:03+00:00,10727689
32,2019-07-16 04:26:32+00:00,10727689
29,2019-07-16 04:26:32+00:00,10727689
10,2019-07-16 05:48:41+00:00,10727690
924,2019-07-16 06:53:19+00:00,10727691
10,2019-07-16 07:30:32+00:00,10727692
737,2019-07-16 07:50:04+00:00,10727693
924,2019-07-16 08:47:25+00:00,10727694
737,2019-07-16 08:49:18+00:00,10727694
212,2019-07-16 08:49:18+00:00,10727694
22,2019-07-16 08:49:18+00:00,10727694
375,2019-07-16 08:49:18+00:00,10727694
10,2019-07-16 08:49:18+00:00,10727694
13,2019-07-16 08:49:18+00:00,10727694
495,2019-07-16 08:49:19+00:00,10727694
26,2019-07-16 08:59:02+00:00,10727695
30839,2019-07-16 09:19:31+00:00,10727696
10,2019-07-16 10:37:20+00:00,10727697
73,2019-07-16 10:38:11+00:00,10727698
10,2019-07-16 11:35:35+00:00,10727699
22,2019-07-16 11:58:29+00:00,10727700
10,2019-07-16 11:58:30+00:00,10727701
73195,2019-07-16 12:04:17+00:00,10727702
10,2019-07-16 12:23:32+00:00,10727703
13,2019-07-16 13:40:11+00:00,10727704
73195,2019-07-16 14:01:40+00:00,10727705
13,2019-07-16 17:55:43+00:00,10727706
73195,2019-07-16 18:18:35+00:00,10727707
13,2019-07-17 03:34:42+00:00,10727665
56,2019-07-17 03:35:04+00:00,10727665
22,2019-07-17 07:29:20+00:00,10727708
737,2019-07-17 07:29:36+00:00,10727708
737,2019-07-17 07:32:49+00:00,10727708
26,2019-07-17 07:44:44+00:00,10727709
13,2019-07-17 08:31:07+00:00,10727708
22,2019-07-17 08:35:22+00:00,10727709
514,2019-07-17 08:39:48+00:00,10727708
737,2019-07-17 08:39:48+00:00,10727708
10,2019-07-17 08:55:07+00:00,10727710
737,2019-07-17 08:57:24+00:00,10727710
73,2019-07-17 09:28:48+00:00,10727711
737,2019-07-17 09:29:14+00:00,10727711
10,2019-07-17 09:38:52+00:00,10727712
73195,2019-07-17 09:42:24+00:00,10727713
37672,2019-07-17 09:52:18+00:00,10727714
10,2019-07-17 09:53:27+00:00,10727714
73195,2019-07-17 09:55:26+00:00,10727715
737,2019-07-17 09:56:42+00:00,10727715
73195,2019-07-17 10:29:31+00:00,10727716
73195,2019-07-17 10:32:35+00:00,10727717
737,2019-07-17 10:33:41+00:00,10727717
10,2019-07-17 10:39:49+00:00,10727718
514,2019-07-17 12:08:05+00:00,4119794
9590,2019-07-17 12:08:05+00:00,4119794
775,2019-07-17 12:08:05+00:00,4119794
10351,2019-07-17 12:08:05+00:00,4119794
212,2019-07-17 12:08:05+00:00,4119794
375,2019-07-17 12:08:05+00:00,4119794
26,2019-07-17 12:08:05+00:00,4119794
13,2019-07-17 12:08:05+00:00,4119794
10,2019-07-17 13:13:16+00:00,10727719
30839,2019-07-17 13:28:55+00:00,10727720
13,2019-07-17 14:03:37+00:00,10727721
30839,2019-07-17 14:58:48+00:00,10727722
10,2019-07-17 15:21:55+00:00,10727723
10,2019-07-17 15:25:45+00:00,10727724
737,2019-07-17 15:43:10+00:00,10727712
52,2019-07-17 15:43:10+00:00,10727712
56,2019-07-17 15:43:10+00:00,10727712
13,2019-07-17 15:43:10+00:00,10727712
737,2019-07-17 15:45:23+00:00,10727712
514,2019-07-17 15:45:23+00:00,10727712
32,2019-07-17 15:45:34+00:00,10727712
29,2019-07-17 15:45:34+00:00,10727712
22,2019-07-18 05:06:41+00:00,10727725
737,2019-07-18 05:50:47+00:00,10727712
52,2019-07-18 05:50:47+00:00,10727712
56,2019-07-18 05:50:47+00:00,10727712
10,2019-07-18 05:50:47+00:00,10727712
13,2019-07-18 05:50:47+00:00,10727712
495,2019-07-18 05:50:47+00:00,10727712
732,2019-07-18 06:14:14+00:00,10727727
10,2019-07-18 07:07:46+00:00,10727729
10,2019-07-18 08:24:24+00:00,10727730
10,2019-07-18 08:37:10+00:00,10727731
10,2019-07-18 08:59:12+00:00,10727732
22,2019-07-18 10:52:03+00:00,10727733
26,2019-07-18 11:23:38+00:00,10727735
29,2019-07-18 11:23:42+00:00,10727734
22,2019-07-18 11:29:08+00:00,10727736
10,2019-07-18 18:09:23+00:00,10727737
10,2019-07-18 21:01:16+00:00,10727718
10,2019-07-19 00:50:36+00:00,10727718
737,2019-07-19 05:43:07+00:00,10727665
10,2019-07-19 06:14:43+00:00,10727738
10,2019-07-19 06:43:17+00:00,10727739
212,2019-07-19 06:44:29+00:00,10727739
22,2019-07-19 06:44:29+00:00,10727739
375,2019-07-19 06:44:29+00:00,10727739
952,2019-07-19 06:44:29+00:00,10727739
10,2019-07-19 06:44:29+00:00,10727739
26,2019-07-19 06:44:29+00:00,10727739
13,2019-07-19 06:44:29+00:00,10727739
495,2019-07-19 06:44:29+00:00,10727739
56,2019-07-19 06:44:29+00:00,10727739
13,2019-07-19 06:44:29+00:00,10727739
10,2019-07-19 07:41:58+00:00,10727738
10,2019-07-19 08:08:33+00:00,10727740
212,2019-07-19 08:33:33+00:00,10727741
212,2019-07-19 08:36:33+00:00,10727742
30839,2019-07-19 09:19:50+00:00,10727743
30839,2019-07-19 09:19:50+00:00,10727743
74872,2019-07-19 09:39:52+00:00,10727744
76,2019-07-19 11:20:45+00:00,10727746
12410,2019-07-19 11:55:06+00:00,10727747
229,2019-07-19 15:19:44+00:00,10727745
32,2019-07-22 07:46:26+00:00,10727718
74872,2019-07-22 08:49:17+00:00,10727748
732,2019-07-22 09:31:53+00:00,10727749
494,2019-07-22 09:42:44+00:00,10727653
10,2019-07-22 10:19:55+00:00,10727750
10,2019-07-22 10:23:24+00:00,10727750
737,2019-07-22 10:23:24+00:00,10727750
13,2019-07-22 10:23:24+00:00,10727750
495,2019-07-22 10:23:24+00:00,10727750
212,2019-07-22 10:23:24+00:00,10727750
22,2019-07-22 10:23:24+00:00,10727750
375,2019-07-22 10:23:24+00:00,10727750
10,2019-07-22 11:32:04+00:00,10727751
10,2019-07-22 12:00:37+00:00,10727752
13,2019-07-22 12:05:29+00:00,10727752
22,2019-07-22 12:05:39+00:00,10727752
32,2019-07-22 12:05:52+00:00,10727752
26,2019-07-22 12:15:19+00:00,10727753
732,2019-07-22 12:26:53+00:00,10727718
10,2019-07-22 12:39:20+00:00,10727754
73195,2019-07-22 13:22:21+00:00,10727755
9341,2019-07-22 13:40:38+00:00,10727755
9341,2019-07-22 13:40:38+00:00,10727755
10,2019-07-22 14:00:15+00:00,10727756
10,2019-07-22 14:04:42+00:00,10727757
9341,2019-07-22 14:25:05+00:00,10727758
9341,2019-07-22 14:43:26+00:00,10727759
9341,2019-07-22 17:51:18+00:00,10727760
9341,2019-07-22 18:01:24+00:00,10727761
9341,2019-07-22 18:07:50+00:00,10727762
9341,2019-07-22 18:11:36+00:00,10727763
9341,2019-07-22 18:15:01+00:00,10727764
9341,2019-07-23 04:59:22+00:00,10727765
10,2019-07-23 05:36:14+00:00,10727766
9341,2019-07-23 06:31:54+00:00,10727767
9341,2019-07-23 06:56:32+00:00,10727769
10,2019-07-23 06:56:59+00:00,10727768
9341,2019-07-23 06:59:17+00:00,10727770
924,2019-07-23 09:12:35+00:00,10727771
10,2019-07-23 09:29:16+00:00,10727726
